university,country,language,non_eng_level,IELTS_min,GPA_min,SAT_min,accept-rate,international_cost_min,international_cost_max,local_rank,global_rank,scholarship,is_public,stud-faculty-ratio,,link
University of Vienna,Austria,"German, English",6.0,C1,2.5,0,34,1737,1737,1/62,152,yes,Public,13:1,,https://www.univie.ac.at/en/
Vienna University of Technology (TU Wien),Austria,German,0,C1,0,0,35,1737,1737,3/62,189,yes,Public,15:1 - 18:1,,https://www.tuwien.at/en/
Medical University of Vienna,Austria,German,0,C1,0,0,9,10800,10800,2/62,by Subject (Medicine) 2024: #60                                 Overall: 201-250,yes,Public,8:1 - 10:1,,https://www.meduniwien.ac.at/web/en/
University of Innsbruck,Austria,German,0,C1,0,0,45,1737,1737,5/62,340,yes,Public,20:1 - 25:1,,https://www.uibk.ac.at/en/
Graz University of Technology (TU Graz),Austria,German,0,C1,0,0,45,1737,1737,5-8/62,340(same as UIBK),yes,Public,20:1 - 25:1,,https://www.tugraz.at/en/ 
University of Graz,Austria,German,0,C1,0,0,35,1737,1737,5-7/52,668,yes,Public,1:47.6,,https://www.uni-graz.at/en/
Johannes Kepler University Linz,Austria,German,0,C1,0,0,55,1737,1737,5-10/62,668,yes,Public,22:1,,https://www.jku.at/en/
Medical University of Graz,Austria,German,0,C1,0,0,7-5,1737,1737,2-3/62,201-250,yes,Public,1:1.5,,https://www.medunigraz.at/en/
Medical University of Innsbruck,Austria,German,0,C1,0,0,12.5,1737,1737,2-5/62,201-250,yes,Public,1:1.5 (sugestion) ,,https://www.i-med.ac.at/mypoint/index.xml.en
University of Klagenfurt,Austria,German,0,C1,0,0,7.5,1737,1737,2-3/62,201-250,yes,Public,Not explicitly published,,https://www.i-med.ac.at/en/
University of Salzburg,Austria,German,0,C1,0,0,65,1737,1737,10-15/62,1183,yes,Public,1:6.4,,https://www.plus.ac.at/en/
Vienna University of Economics and Business (WU),Austria,German,0,C1,0,0,75,1737,1737,10-15/62,1001-1200,yes,Public,11:1,,https://www.aau.at/en/
"University of Natural Resources and Life Sciences, Vienna (BOKU)",Austria,German,0,C1,0,0,65,1737,1737,8/62,by Subject (Agriculture & Forestry) 2025: 28           Overall ranking: 740,yes,Public,1:6,,https://boku.ac.at/en/
University of Leoben,Austria,German,0,C1,0,0,97,1737,1737,16/62,by Subject (Engineering - Mineral & Mining) 2025: Consistently ranked among the top 50 worldwide                               Overall ranking:1739,yes,Public,1:2.1,,https://www.unileoben.ac.at/en/
Paracelsus Medical University,Austria,German,0,C1,0,0,7.5,24940,24940,11/62,1039,yes,Private,1:2.7,,https://www.pmu.ac.at/en/
Institute of Science and Technology Austria (ISTA),Austria,English,7.0,0,3.0,0,4,0,0,12/62,1043,yes,Public,1:4.2,,https://www.ista.ac.at/en/
University of Veterinary Medicine Vienna,Austria,German,0,C1,0,0,17.5,1737,1737,14/62,1270,yes,Public,1:3.4,,https://www.vetmeduni.ac.at/en/
Sigmund Freud University Vienna,Austria,"German, English",6.0,C1,0,0,60,16100,20184,Not widely featured,Not consistently ranked,yes,Private,Not explicitly published as a ratio.(small class sizes),,https://www.sfu.ac.at/en/
University of Applied Arts Vienna,Austria,German,0,C1,0,0,5,1737,1737,Not typically featured,by Subject (Art & Design) 2025: Ranked within the top 100 globally,yes,Public,Not explicitly published as a fixed ratio,,https://www.dieangewandte.at/
Academy of Fine Arts Vienna,Austria,German,0,C1,0,0,5,1737,1737,Not typically featured (leading fine arts institution in Austria),by Subject (Art & Design) 2025: Ranked within the top 100 globally,yes,Public,1:26.5,,https://www.akbild.ac.at/
KU Leuven (Katholieke Universiteit Leuven),Belgium,"Dutch, English",6.5,B2,0,640,73,6728,6728,1/104,60,yes,Public,1:5,,https://www.kuleuven.be/english/kuleuven
Ghent University (Universiteit Gent),Belgium,Dutch,0,B2,2.5,0,34,5717,5717,2/104,162,yes,Public,1:5,,https://www.ugent.be/en
Université catholique de Louvain (UCLouvain),Belgium,French,0,B2,0,0,25,4843,4843,3/104,189,yes,Public,1:10,,https://uclouvain.be/en
Université libre de Bruxelles (ULB),Belgium,French,0,B2,2.9,1200,25,5811,5811,4/104,233,yes,Public,1:10-1:12,,https://www.ulb.be/en
Vrije Universiteit Brussel (VUB),Belgium,Dutch,0,B2,3.0,0,22,5800,13920,7/104,294,yes,Public,1:7,,https://www.vub.be/en
University of Antwerp (Universiteit Antwerpen),Belgium,Dutch,0,B2,2.5,0,25,1392,9280,5/104,297,yes,Public,1:14,,https://www.uantwerpen.be/en/
Université de Liège,Belgium,French,0,B2,3.0,0,75,4843,4843,6/104,379,yes,Public,1:7,,https://www.uliege.be/cms/c_8741341/en/accueil-en
Hasselt University,Belgium,Dutch,0,B2,2.5,0,60,1392,9280,8/104,597,yes,Public,1:5,,https://www.uhasselt.be/en
University of Mons,Belgium,French,0,B2,2.5,0,60,4843,4843,9/104,1000+,yes,Public,1:9,,https://web.umons.ac.be/en/
University of Namur,Belgium,French,0,B2,0,0,50,4843,4843,10/104,801-850,yes,Public,1:20,,https://www.unamur.be/en
University of Zagreb,Croatia,Croatian,0,B2,2.5,1200,55,2354,5886,1/14,701-710,yes,Public,1:9,,https://www.unizg.hr/homepage/
