University Name,Country,Language of teaching,"Minimum IELTS score
(or average)","Minimum GPA 
(or average)","Minimum SAT score
(or average)",Acceptance rate (%),"Cost per year 
for interational students","Cost per year 
for local students","National ranking","Global ranking",Scholarship (yes/no),"Public/Private","Student to faculty ratio",Link to official website
Harvard University,USA,English,7.5,3.8-4.0,1480-1580,3.5%,"$86,926","$86,926",3/4000,4,yes,private,7:1,https://www.harvard.edu/
University of Vienna,Austria,"German, English",6.0-6.5,2.5,Not typically required,34%,"$1,680 + $57 student union fee",$840,1/62,152,yes,Public,13:1,https://www.univie.ac.at/en/
Vienna University of Technology (TU Wien),Austria,German,6.0 - 7.0,Not officially specified,Not typically required,30-40%,"$1,680 + $57 student union fee",only $57 student union fee,3/62,189,yes,Public,15:1 - 18:1,https://www.tuwien.at/en/
Medical University of Vienna,Austria,German,6.5 - 7.0,Not officially specified,Not typically required,9%,"$10,800 + $57 student union fee",only $57 student union fee,2/62,by Subject (Medicine) 2024: #60                                 Overall: 201-250,yes,Public,8:1 - 10:1,https://www.meduniwien.ac.at/web/en/
University of Innsbruck,Austria,German,6.0 - 7.0,Not officially specified,Not typically required,40-50%,"$1,680 + $57 student union fee",only $57 student union fee,5/62,340,yes,Public,20:1 - 25:1,https://www.uibk.ac.at/en/
Graz University of Technology (TU Graz),Austria,German,6.0 - 7.0,Not a universally stated ,Not typically required,40-50%,"$1,680 + $57 student union fee",only $57 student union fee,5-8/62,340(same as UIBK),yes,Public,20:1 - 25:1,https://www.tugraz.at/en/ 
University of Graz,Austria,German,6.0 - 7.0,Not a universally stated,Not typically required,30-40%,"$1,680 + $57 student union fee",only $57 student union fee,5-7/52,668,yes,Public,1:47.6,https://www.uni-graz.at/en/
Johannes Kepler University Linz,Austria,German,6.5,Not a universally stated,Not typically required,50-60%,"$1,680 + $57 student union fee",only $57 student union fee,5-10/62,668,yes,Public,22:1,https://www.jku.at/en/
Medical University of Graz,Austria,German,6.5,Not a universally stated,Not typically required,5-10%,"$1,680 + $57 student union fee",only $57 student union fee,2-3/62,201-250,yes,Public,1:1.5,https://www.medunigraz.at/en/
Medical University of Innsbruck,Austria,German,5.5 - 6.5,Not a universally stated,Not typically required,10-15%,"$1,680 + $57 student union fee",only $57 student union fee,2-5/62,201-250,yes,Public,1:1.5 (sugestion) ,https://www.i-med.ac.at/en/
University of Klagenfurt,Austria,German,6.5,Not a universally stated,Not typically required,5-10%,"$1,680 + $57 student union fee",only $57 student union fee,2-3/62,201-250,yes,Public,Not explicitly published,https://www.i-med.ac.at/en/
University of Salzburg,Austria,German,6.5,Not a universally stated,Not typically required,60-70%,"$1,680 + $57 student union fee",only $57 student union fee,10-15/62,1183,yes,Public,1:6.4,https://www.plus.ac.at/en/
Vienna University of Economics and Business (WU),Austria,German,6.0 - 6.5,Not a universally stated,Not typically required,70-80%,"$1,680 + $57 student union fee",only $57 student union fee,10-15/62,1001-1200,yes,Public,11:1,https://www.aau.at/en/
"University of Natural Resources and Life Sciences, Vienna (BOKU)",Austria,German,6.5,Not a universally stated,Not typically required,60-70%,"$1,680 + $57 student union fee",only $57 student union fee,8/62,by Subject (Agriculture & Forestry) 2025: 28           Overall ranking: 740,yes,Public,1:6,https://boku.ac.at/en/
University of Leoben,Austria,German,6.0,Not a universally stated,Not typically required,close to 100%,"$1,680 + $57 student union fee",$901,16/62,by Subject (Engineering - Mineral & Mining) 2025: Consistently ranked among the top 50 worldwide                               Overall ranking:1739,yes,Public,1:2.1,https://www.unileoben.ac.at/en/
Paracelsus Medical University,Austria and Germany,German,6.5,Not a universally stated,Not typically required,5-10%,"$24,940","$24,940",11/62,1039,yes,Private,1:2.7,https://www.pmu.ac.at/en/
